,data,codigo,chuva
0,2025-01-01,9999999,3.0
1,2025-01-02,9999999,44.0
2,2025-01-03,9999999,0.0
3,2025-01-04,9999999,0.0
4,2025-01-05,9999999,4.0
5,2025-01-06,9999999,33.0
6,2025-01-07,9999999,0.0
7,2025-01-08,9999999,5.0
8,2025-01-09,9999999,8.0
9,2025-01-10,9999999,0.0
10,2025-01-11,9999999,6.0
11,2025-01-12,9999999,8.0
12,2025-01-13,9999999,0.0
13,2025-01-14,9999999,4.0
14,2025-01-15,9999999,0.0
15,2025-01-16,9999999,4.0
16,2025-01-17,9999999,44.0
17,2025-01-18,9999999,33.0
18,2025-01-19,9999999,0.0
19,2025-01-20,9999999,22.0
20,2025-01-21,9999999,11.0
21,2025-01-22,9999999,0.0
22,2025-01-23,9999999,25.0
23,2025-01-24,9999999,5.0
24,2025-01-25,9999999,6.0
25,2025-01-26,9999999,44.0
26,2025-01-27,9999999,33.0
27,2025-01-28,9999999,22.0
28,2025-01-29,9999999,15.0
29,2025-01-30,9999999,10.0
30,2025-01-31,9999999,0.0
31,2025-02-01,9999999,44.0
32,2025-02-02,9999999,4.0
33,2025-02-03,9999999,8.0
34,2025-02-04,9999999,8.0
35,2025-02-05,9999999,4.0
36,2025-02-06,9999999,6.0
37,2025-02-07,9999999,4.0
38,2025-02-08,9999999,33.0
39,2025-02-09,9999999,44.0
40,2025-02-10,9999999,0.0
41,2025-02-11,9999999,33.0
42,2025-02-12,9999999,0.0
43,2025-02-13,9999999,22.0
44,2025-02-14,9999999,66.0
45,2025-02-15,9999999,22.0
46,2025-02-16,9999999,44.0
47,2025-02-17,9999999,12.0
48,2025-02-18,9999999,44.0
49,2025-02-19,9999999,44.0
50,2025-02-20,9999999,22.0
51,2025-02-21,9999999,11.0
52,2025-02-22,9999999,12.0
53,2025-02-23,9999999,51.0
54,2025-02-24,9999999,12.0
55,2025-02-25,9999999,10.0
56,2025-02-26,9999999,22.0
57,2025-02-27,9999999,33.0
58,2025-02-28,9999999,11.0
59,2025-03-01,9999999,8.0
60,2025-03-02,9999999,5.0
61,2025-03-03,9999999,1.0
62,2025-03-04,9999999,0.0
63,2025-03-05,9999999,1.0
64,2025-03-06,9999999,0.0
65,2025-03-07,9999999,2.0
66,2025-03-08,9999999,0.0
67,2025-03-09,9999999,0.0
68,2025-03-10,9999999,0.0
69,2025-03-11,9999999,4.0
70,2025-03-12,9999999,0.0
71,2025-03-13,9999999,2.0
72,2025-03-14,9999999,4.0
73,2025-03-15,9999999,6.0
74,2025-03-16,9999999,3.0
75,2025-03-17,9999999,4.0
76,2025-03-18,9999999,0.0
77,2025-03-19,9999999,0.0
78,2025-03-20,9999999,2.0
79,2025-03-21,9999999,1.0
80,2025-03-22,9999999,5.0
81,2025-03-23,9999999,0.0
82,2025-03-24,9999999,0.0
83,2025-03-25,9999999,2.0
84,2025-03-26,9999999,5.0
85,2025-03-27,9999999,0.0
86,2025-03-28,9999999,0.0
87,2025-03-29,9999999,0.0
88,2025-03-30,9999999,0.0
89,2025-03-31,9999999,0.0
90,2025-04-01,9999999,0.0
91,2025-04-02,9999999,0.0
92,2025-04-03,9999999,0.0
93,2025-04-04,9999999,0.0
94,2025-04-05,9999999,0.0
95,2025-04-06,9999999,0.0
96,2025-04-07,9999999,0.0
97,2025-04-08,9999999,0.0
98,2025-04-09,9999999,0.0
99,2025-04-10,9999999,0.0
100,2025-04-11,9999999,0.0
101,2025-04-12,9999999,0.0
102,2025-04-13,9999999,0.0
103,2025-04-14,9999999,0.0
104,2025-04-15,9999999,3.0
105,2025-04-16,9999999,1.0
106,2025-04-17,9999999,0.0
107,2025-04-18,9999999,0.0
108,2025-04-19,9999999,2.0
109,2025-04-20,9999999,0.0
110,2025-04-21,9999999,0.0
111,2025-04-22,9999999,0.0
112,2025-04-23,9999999,0.0
113,2025-04-24,9999999,2.0
114,2025-04-25,9999999,1.0
115,2025-04-26,9999999,0.0
116,2025-04-27,9999999,3.0
117,2025-04-28,9999999,1.0
118,2025-04-29,9999999,1.0
119,2025-04-30,9999999,0.0
120,2025-05-01,9999999,3.0
121,2025-05-02,9999999,0.0
122,2025-05-03,9999999,0.0
123,2025-05-04,9999999,0.0
124,2025-05-05,9999999,0.0
125,2025-05-06,9999999,0.0
126,2025-05-07,9999999,0.0
127,2025-05-08,9999999,0.0
128,2025-05-09,9999999,5.0
129,2025-05-10,9999999,0.0
130,2025-05-11,9999999,0.0
131,2025-05-12,9999999,0.0
132,2025-05-13,9999999,0.0
133,2025-05-14,9999999,0.0
134,2025-05-15,9999999,0.0
135,2025-05-16,9999999,0.0
136,2025-05-17,9999999,0.0
137,2025-05-18,9999999,1.0
138,2025-05-19,9999999,0.0
139,2025-05-20,9999999,0.0
